Date,Open,High,Low,Close,Adj Close,Volume
2018-06-08,8233167.500000,8239603.500000,8116436.500000,8188630.500000,8188630.500000,4540124886304
2018-06-09,8196792.000000,8251627.000000,8088819.500000,8088819.500000,8088819.500000,4129497217698
2018-06-10,8053991.500000,8053991.500000,7201784.000000,7279024.500000,7279024.500000,6226561557351
2018-06-11,7293258.500000,7436805.000000,7203323.000000,7433849.000000,7433849.000000,5107286389991
2018-06-12,7432665.000000,7426057.000000,7068652.000000,7103222.000000,7103222.000000,5022681123930
2018-06-13,7118891.000000,7181027.000000,6803503.000000,6887038.000000,6887038.000000,5479728234441
2018-06-14,6879283.000000,7312929.000000,6851985.500000,7281138.000000,7281138.000000,5605047949953
2018-06-15,7279753.000000,7267011.000000,7092827.000000,7117863.000000,7117863.000000,4360500990885
2018-06-16,7116617.500000,7267693.000000,7058012.500000,7221027.500000,7221027.500000,3521317014872
2018-06-17,7215923.000000,7263966.500000,7173959.000000,7173959.000000,7173959.000000,3426248280876
2018-06-18,7185880.000000,7494041.500000,7111526.500000,7436520.500000,7436520.500000,4460044248002
2018-06-19,7444880.000000,7603744.500000,7397217.000000,7523705.000000,7523705.000000,4508739595728
2018-06-20,7524616.000000,7558629.500000,7333897.000000,7506791.000000,7506791.000000,4307679846400
2018-06-21,7510712.500000,7543116.000000,7437185.000000,7466579.500000,7466579.500000,3915534425949
2018-06-22,7475610.500000,7481162.500000,6673332.500000,6758979.500000,6758979.500000,5643668963327
2018-06-23,6766101.000000,6915775.000000,6745781.000000,6846515.500000,6846515.500000,3812240960000
2018-06-24,6848515.000000,6914868.500000,6473141.500000,6855495.500000,6855495.500000,5071644839896
2018-06-25,6854096.500000,7061408.500000,6813713.000000,6961774.000000,6961774.000000,6128067631664
2018-06-26,6966642.000000,7007867.500000,6810468.500000,6810468.500000,6810468.500000,3665558025745
2018-06-27,6800108.000000,6938224.000000,6764060.000000,6911686.000000,6911686.000000,3700171653234
2018-06-28,6907230.000000,6925668.500000,6580223.500000,6614509.500000,6614509.500000,3885496581708
2018-06-29,6608559.500000,6974926.000000,6503943.500000,6926626.500000,6926626.500000,4418023277125
2018-06-30,6922082.000000,7201996.000000,6922082.000000,7133479.500000,7133479.500000,5061451342119
2018-07-01,7142034.500000,7165616.000000,7005703.000000,7117954.000000,7117954.000000,5337233830658
2018-07-02,7111890.500000,7478972.000000,7055448.000000,7394984.000000,7394984.000000,4915987640168
2018-07-03,7375396.000000,7496618.500000,7178667.000000,7269262.000000,7269262.000000,5201589009611
2018-07-04,7292952.500000,7553467.000000,7198068.500000,7350000.500000,7350000.500000,4653041405378
2018-07-05,7352407.000000,7550643.000000,7320267.500000,7420766.000000,7420766.000000,5587800739807
2018-07-06,7420263.000000,7469470.500000,7286214.500000,7438883.500000,7438883.500000,4808728001059
2018-07-07,7433544.500000,7651221.500000,7333813.500000,7643351.500000,7643351.500000,4415376336539
2018-07-08,7644321.000000,7675655.000000,7518397.000000,7542647.500000,7542647.500000,3770511026348
2018-07-09,7543984.000000,7608579.000000,7480290.000000,7499860.000000,7499860.000000,4136233629503
2018-07-10,7497034.000000,7517606.000000,7031675.000000,7041626.500000,7041626.500000,4508044793893
2018-07-11,7042538.500000,7222673.500000,7089493.500000,7208437.000000,7208437.000000,4108668326783
2018-07-12,7210770.000000,7213370.000000,6889542.500000,6992773.500000,6992773.500000,4232581476235
2018-07-13,6999756.000000,7126441.000000,6992463.500000,7042758.000000,7042758.000000,4296296672255
2018-07-14,7053427.500000,7110656.500000,7013596.500000,7085739.500000,7085739.500000,3300823448063
2018-07-15,7081878.500000,7229506.500000,7063599.500000,7185312.000000,7185312.000000,3712011235644
2018-07-16,7182340.500000,7603211.000000,7183421.000000,7603211.000000,7603211.000000,5329662651825
2018-07-17,7600842.500000,8316407.500000,7508729.000000,8239757.500000,8239757.500000,6710115339599
2018-07-18,8233319.500000,8510696.000000,8226494.500000,8335983.500000,8335983.500000,6902651738544
2018-07-19,8344375.500000,8504563.000000,8239711.500000,8471825.000000,8471825.000000,5799604082014
2018-07-20,8472437.000000,8563978.000000,8252581.500000,8287369.000000,8287369.000000,5563358676784
2018-07-21,8285780.500000,8381476.500000,8184010.000000,8360798.000000,8360798.000000,4199516718846
2018-07-22,8359118.500000,8495194.000000,8321491.000000,8361751.500000,8361751.500000,4165337847205
2018-07-23,8357490.500000,8814047.000000,8350056.000000,8731984.000000,8731984.000000,5811969027198
2018-07-24,8738098.000000,9503250.000000,8754219.000000,9503250.000000,9503250.000000,8209816372756
2018-07-25,9452927.000000,9506855.000000,9077182.000000,9127813.000000,9127813.000000,6521595943401
2018-07-26,9122748.000000,9272900.000000,8850628.000000,8930817.000000,8930817.000000,5502412843650
2018-07-27,8929492.000000,9230631.000000,8744233.000000,9101128.000000,9101128.000000,5791587570665
2018-07-28,9105643.000000,9165599.000000,9040670.000000,9131380.000000,9131380.000000,4446060276674
2018-07-29,9146618.000000,9220674.000000,9074566.000000,9160295.000000,9160295.000000,4577873991834
2018-07-30,9163773.000000,9193865.000000,8844323.000000,9134324.000000,9134324.000000,6198693240000
2018-07-31,9135128.000000,9134842.000000,8560910.000000,8653561.000000,8653561.000000,5880896616599
2018-08-01,8640882.000000,8661703.000000,8394887.000000,8529224.000000,8529224.000000,5366617732000
2018-08-02,8539605.000000,8645244.000000,8482679.000000,8536880.000000,8536880.000000,4754148196503
2018-08-03,8531228.000000,8535387.000000,8264518.500000,8343913.500000,8343913.500000,5193235530999
2018-08-04,8348717.000000,8414733.000000,7838501.000000,7893249.000000,7893249.000000,4790584832599
2018-08-05,7891262.500000,7970728.500000,7789825.000000,7937267.000000,7937267.000000,4131309410099
2018-08-06,7931046.000000,8050902.500000,7755371.500000,7822721.500000,7822721.500000,4417736752001
2018-08-07,7830058.500000,7981993.000000,7531913.000000,7538170.000000,7538170.000000,5227175500000
2018-08-08,7531171.500000,7544327.500000,6952072.500000,7036957.500000,7036957.500000,5651650658497
2018-08-09,7036689.500000,7435394.000000,6990209.500000,7368569.000000,7368569.000000,4786978824002
2018-08-10,7372147.500000,7412531.000000,6915624.000000,6983589.000000,6983589.000000,5113649595599
2018-08-11,6984808.500000,7289628.000000,6898133.500000,7108949.500000,7108949.500000,4570710784499
2018-08-12,7095309.000000,7241207.500000,7043198.000000,7149571.500000,7149571.500000,6406151395002
2018-08-13,7170683.000000,7411380.500000,7073601.000000,7153787.500000,7153787.500000,4639237920802
2018-08-14,7142530.500000,7141842.500000,6760423.000000,6985213.500000,6985213.500000,5973425390001
2018-08-15,7009674.000000,7478727.000000,7010358.500000,7168371.500000,7168371.500000,5562699834999
2018-08-16,7152133.500000,7308517.000000,7125859.500000,7135250.000000,7135250.000000,4875402435398
2018-08-17,7142211.000000,7369240.500000,7130075.500000,7367147.000000,7367147.000000,5589752164799
2018-08-18,7370281.500000,7408255.500000,7113128.000000,7191528.000000,7191528.000000,4460749830399
2018-08-19,7190195.500000,7312403.500000,7121882.500000,7277625.000000,7277625.000000,3703841650298
2018-08-20,7271405.500000,7327233.500000,7036992.000000,7045681.500000,7045681.500000,4093366934998
2018-08-21,7037350.000000,7251785.500000,7043573.500000,7242105.000000,7242105.000000,3769270598001
2018-08-22,7239303.500000,7634191.500000,7046310.500000,7125654.500000,7125654.500000,5216379519499
2018-08-23,7119654.000000,7374677.500000,7129529.500000,7359908.500000,7359908.500000,3858735224998
2018-08-24,7378649.500000,7488253.000000,7291084.000000,7488253.000000,7488253.000000,4566323760601
2018-08-25,7488242.000000,7565888.500000,7467081.000000,7536425.500000,7536425.500000,3691329558001
2018-08-26,7526898.000000,7549307.000000,7377700.500000,7453711.000000,7453711.000000,3662256195001
